Catégorie;Projet;Vote positif;Vote négatif;Description
Des espaces verts, des espaces collectifs, des espaces apaisés;691 - Améliorer la propreté de la ville;117;1;"Un des éléments qui sont choquants à Liège  par rapport à d'autres villes de taille comparable est la saleté assez généralisée et l'incivisme des gens en ville. 
Je pense qu'il faudrait envisager des actions de sensibilisation à ce sujet, voire des actions visant à sanctionner les actes inciviques. 

Je pense également qu'il faudrait envisager des mesures pour contraindre les propriétaires de bâtiments commerciaux et autres du centre ville à prendre en considération la propreté, l'aspect global du bâtiment, la saleté, les appartements inoccupés etc. Cela pourrait passer par des incitants financiers pour rafraîchir les bâtiments du centre, maintenir des commerces attractifs. Cela pourrait aussi passer par des sanctions envers les propriétaires, car d'un côté cela cause un préjudice touristique à la ville."
Des espaces verts, des espaces collectifs, des espaces apaisés;692 - Nuisances liées aux véhicules à moteur;43;3;"Dans certains quartiers, en vue de maintenir l'attractivité pour les familles d'habiter en ville,  je pense qu'il faudrait vraiment prendre des mesures concernant les véhicules à moteur. 

Par exemple, dans le quartier Burenville, la rue Saint-Nicolas, la partie haute de la rue Saint-Gilles, il y a dès les beaux jours des rodeos de motos, mobylettes, quads (n'est-ce pas interdit sur la route?), des voitures qui passent à 100 km/h au lieu de 50...  C'est extrèmement dangereux et a une influence certaine sur la qualité de vie. 

Il faut des mesures coercitives beaucoup plus fortes par rapport à ces problèmes, car c'est dangereux pour les usagers faibles et décourageant pour rester en ville."
Des espaces verts, des espaces collectifs, des espaces apaisés;694- Restaurer ,sécuriser et réaménager le terril d l'espérance à Saint-Nicolas .;22;2;Le terril de l'Espérance  est dangereux pour la sécurité du public . Les escaliers et la rampe en bois  sont tous pourris . Il manque  quelques rampes de bois pour soutenir lors de la descente ou la montée du terril . Manque des poubelles sur place . Des chiffres pour localisation .
Des espaces verts, des espaces collectifs, des espaces apaisés;713-¨Pétanque couverte avec buvette et parking;8;15;"Louer et aménager  un hangar en  pétanque couverte avec une buvette et parking.

Grande piste couverte avec une buvette et des places assises pour les non -participants .
Prévoir un parking pour voiture aux alentours de cette piste .
Au centre-liège , je ne vois aucune piste de pétanque couverte avec bar à louer ."
Inclusion sociale;723- Soutien scolaire dans les quartiers;144;5;"ATELIER CITOYENS Chênée - lundi 8 mai

 Soutien scolaire dans les quartiers et école de devoirs (des aînés qui aident les jeunes)

Constat de décrochage et échec scolaire, pas assez d'écoles de devoirs.  Mise en relation des ainés (y compris système à domicile) avec les enfants / jeunes des quartiers.  Double avantage : soutien scolaire et promotion des relations intergénérationnelles.
Création d'une plateforme reprenant les matières.  Les aînés pourraient aider."
La végétalisation et l'agriculture urbaine;737- Ry-Ponet : un vaste espace vert à préserver;475;121;"Nous proposons de préserver durablement un magnifique poumon vert de plus de 300 hectares, s’étalant, autour du ruisseau du Ry-Ponet, sur les communes de Liège (Chênée et Grivegnée), de Beyne-Heusay, de Fléron (Romsée) et de Chaudfontaine (Vaux-sous-Chèvremont). La supracommunalité du projet invite notre Ville à prendre cette initiative audacieuse et judicieuse sur le terrain du développement du bien-être de sa population.

Ce projet pourrait bénéficier non seulement aux habitants proches, mais aussi à tous les habitants de Liège et des communes voisines. Car, en plus des petits espaces verts de quartiers, fréquentés quotidiennement par les habitants, il est indispensable que les Liégeois aient accès à de vastes zones naturelles pour s’extraire de l’agitation de la Ville tout en restant à proximité de celle-ci.

Cette superficie de 300 hectares présente des qualités paysagères remarquables et des points de vue inégalés qui pourraient lui conférer le statut de paysage d’intérêt régional. 

Cette zone est composée d’écosystèmes variés (bois, pelouses sèches, mares,…) et présente un intérêt biologique pour le maillage vert de la Ville et ses alentours garantissant le maintien de la biodiversité présente sur le territoire.

Protégeons cette zone et renforçons ses atouts déjà existants - elle est notamment traversée par le Ravel (ligne 38) - en créant un vaste parc à caractère rural et naturel respectueux des habitants et des usagers déjà présents sur le site. Pourraient s’y développer des activités de loisirs (randonnées, balades à vélo, à cheval, …), de tourisme doux, de maraîchage et de défense et d’éducation à l’environnement (notamment par la reconversion de la Ferme Sainte-Anne).

Notre projet s’inscrit dans l’action prioritaire n°5 de la Ville visant à ""développer les espaces verts"". Pour y parvenir, nous proposons quelques actions concrètes qui pourraient être menées rapidement et sans grands frais :
-	Développer un réseau de sentiers publics balisés reliant le cœur de cet espace vert aux quartiers environnants et aux écoles, en accord avec les citoyens, les agriculteurs et le Commissariat général au Tourisme. Cette démarche renforcerait la convivialité et la mobilité douce entre les différents quartiers. L’ASBL Sentiers.be pourrait accompagner la démarche.
-	Restaurer les paysages et les sites d’intérêt biologique.
-	Entretenir et aménager les nombreux points de vue donnant sur la ville et la vallée.
-	Définir quelques aires de détente et installer du mobilier urbain de qualité pour permettre de pique-niquer, de lire, etc.
-	Placer des panneaux didactiques, des tables d’orientation
-	Construire une passerelle d’observation dans la cime des arbres d’une importante chênaie en s’inspirant du parc métropolitain de la Deûle (Lille).

A seulement 5 kilomètres à vol d’oiseau de la place Saint-Lambert, protégeons cet écrin de verdure."
Inclassables;740- Rebaptiser le Vauban;5;19;Par exemple Velbruck ou (marrant) Wolbodon. En tout cas, quelqu'un de Liège.
La végétalisation et l'agriculture urbaine;766 - Adopte ton pot de fleurs;48;5;"La ville de Liège pourrait mettre à disposition des gros pots de fleurs remplis de terre. Les volontaires, tant des individus que des collectifs (familles, classes de l'école, riverains, groupes de collègues, asbl,…), pourraient y planter des fleurs et les entretenir. 

S'occuper des fleurs est une activité ludique et relaxante qui, pourtant, ne demande pas beaucoup de temps. Ce projet pourrait rapprocher les gens entre eux - ce fait d'avoir un petit projet en commun… 
Pour la jeune génération, ça pourrait être également très enrichissant - détourner l'attention du monde virtuel vers quelque chose de vivant et présent fait du bien à tout le monde. 
Et bien sur, les rues de notre ville deviendraient plus belles et colorées.
  
Pour ce projet, dans un premier temps, il faudrait que la ville mette à disposition des gros pots de fleurs remplis de terre. 
Pour les fleurs, 2 possibilités s'offrent: soit les gens les achètent eux-mêmes et selon leurs goûts, soit elles sont distribuées centralement, mais tout un laissant aux gens un certain choix. 
Dans un second temps, on pourait mettre en place une communauté des participants (un site web, page fb, ...) pour partager les photos des réussites, s'échanger des expériences ou se donner des conseils pour une meilleure plantation."
Des espaces verts, des espaces collectifs, des espaces apaisés;778 - Peindre la façade aveugle de la place du Marché;7;4;Tout le monde connaît cette façade aveugle de la maison jaune de la place du Marché. Pourquoi ne pas la peindre dans le même jaune que le reste de la maison ? (Cela la rendrait moins visible)
Des espaces verts, des espaces collectifs, des espaces apaisés;789 - Mettre en couleur certains ponts;51;5;"Mettre en couleur certains ponts; je pense par exemple au pont-rails de l'île Monsin, à la passerelle de la Régence, au pont de Bressoux, pont des Vennes, au pont du Longdoz, au pont de Fétinne, au pont d'Angleur,  au pont ferroviaire de la rue Denis-Lecocq. Les liégeois, quartier par quartier, pourraient voter pour la couleur."
Ville participative, Collaborative et Numérique;816 - Alléger les démarches administratives pour les projets citoyens;33;1;"Pour avoir une ville conviviale  avec une participation citoyenne active , il faut alléger les démarches administratives pour la réalisation d'un projet citoyen collaboratif et intelligent .
Exemple : le placements de deux boites à livres  a pris plus d'un an et demi pour arriver dans le quartier sur le boulevard E de Laveleye.
Comité de quartier VF"
La mobilité;851 - Des rues où les vélos sont prioritaires;132;57;"L'idée est toute simple.
Là où le contexte le permet, autoriser les vélos à rouler au milieu de la chaussée, tout en étant prioritaires. On appelle ça les VELORUES.

Si vous pensez à des rues qui se prêteraient bien à cela, merci de les indiquer en commentaire.

Exemple à Strasbourg: 
https://www.francebleu.fr/infos/transports/strasbourg-inaugure-la-premiere-velorue-de-france-1494593960"
Inclusion sociale;855 - Des casiers solidaires pour les sans abris;529;10;Les personnes sans abri ont un cruel besoin d’un petit espace sécurisé pour n’avoir pas à porter sans cesse les rares biens indispensables à leur vie difficile (couvertures, cartons faisant office de matelas, sac à dos parfois encombrant, médicaments, nourriture, vêtements, etc.). Notre projet est d’installer des consignes dans des lieux protégés. Des « casiers » ou « consignes solidaires » ont déjà fait leur preuve ou se mettent en place à Lisbonne (www.conversa.pt), Paris, Strasbourg, etc. pour (i) soulager ainsi les personnes en situation d’errance,  (ii) par là-même, débarrasser l’espace public des objets qu’elles sont parfois contraintes d’y abandonner pour de multiples raisons (rendez-vous médicaux ou dans les services sociaux,  convocations administratives, visites aux proches, épuisement, etc.), (iii) leur éviter vols et agressions et aussi sans doute (iv) pour empêcher une certaine stigmatisation à l’égard de ceux que l’on croise chargés de tout leur barda de pauvres. Ce petit espace protégé, donné à celui qui n’a rien, ou presque, et laissé à sa responsabilité, est aussi un témoignage de solidarité des Liégeois à l’égard de ceux qui ont tout perdu ou n’ont même jamais rien eu. Et, qui sait ?  Le seuil d’une dignité retrouvée.
Ville participative, Collaborative et Numérique;861 - Boite à  livres dans les lieux publics.;142;5;Permettre a tout a chacun de pouvoir déposer et emprunter un livre a n'importe quel moment de la journée.
Inclassables;916 -Augmenter la sécurité près du Standard;18;13;Supprimer le site de dépôt de carburant à côté du standard (danger) et le remplacer par des places de parking. Disposer de trains quand il y a match même le we.
Des espaces verts, des espaces collectifs, des espaces apaisés;516 - Une piscine à ciel ouvert sur la Meuse;75;9;"Une piscine à ciel ouvert flottant sur la Meuse (ou sa dérivation)...

Les berges du fleuve ont été réaménagées, embellies et valorisées... 
Ne manque-t-il pas un endroit où on pourrait ""piquer une tête""? Les exemples de Genève, Rouen, Paris ne peuvent-ils nous inspirer?"
La transition énergétique;555 - Une coopérative  solaire;156;5;"La ville de liège pourrait mettre à  disposition ses toitures les mieux exposées pour  la pose de panneaux solaires photovoltaïques.

L'investissement se ferait via dans un partenariat  public et citoyens....  

La ville consommerait une partie de sa production  verte et locale..."
Des espaces verts, des espaces collectifs, des espaces apaisés;576 - Responsabiliser les propriétaires de chiens;74;0;"Pour rencontrer cet objectif, dans le but de diminuer la masse d'excréments sur les trottoirs, la Ville pourrait opérer des campagnes faciles, via les stewards, en distribuant, avec le sourire, des sachets en plastiques aux personnes se promenant avec un chien. Sachets sympa,  estampillés Ville de Liège, pour bien faire comprendre l'implication de nos pouvoirs dans la propreté de notre environnement.
A faire notamment le dimanche, lorsque les touristes attirés par la Batte font visiter la ville à leur famille et ... à leur chien!"
La mobilité;585- LIAISON SUR LE RAVEL 1;159;2;"LIAISON SUR LE RAVEL 1 AU PONT DE FETINNE ENTRE LES DEUX RIVES DE L'OURTHE


Situation existante: le passage se fait au milieu de la circulation automobile importante à cet endroit, avec des feux tricolores et des trottoirs.
Solution proposée: construction d'une passerelle cyclo pédestre du quai Mativa au quai du Condroz fixée sous le pont de Fétinne (comme cela a été fait au pont Atlas)."
Inclusion sociale;586- Abonnement annuel bus TEC GRATUIT pour  SDF;58;69;"Abonnement annuel bus TEC gratuit pour les SDF (600 personnes)

... soit max 60.000€ à charge de la ville si tarif étudiant 12-24 ans, 24.000€ si même tarif que pensionnés, ou moins si contrat spécial entre ville et TEC. 
Proposition 2 : élargir aux personnes sans papiers.
Possibilité élargissement aux bénéficiaires RIS du CPAS ( environ 12000 personnes ) , soit 480.000€ à charge de la ville au tarif « pensionnés », ou moins si contrat spécial entre ville et TEC. 
Que de perspectives dans la recherche d’un logement, d’un emploi, d’un abri, d’une convocation, d’une visite chez le médecin ou à l’hôpital…"
Ville participative, Collaborative et Numérique;606- Plateforme numérique pour signaler les problèmes;27;1;"Une plateforme numérique, sur smartphone , en lien direct avec les services entretien  & police de la Ville,  permettrait aux riverains de signaler au quotidien tout problème  (sécurité, dépôt de déchets , mobilier public détérioré, parking sauvage ....)
Un suivi des corrections renforcerait la communication entre notre Ville et les riverains."
La mobilité;630 - Des infrastructures pour les vélos;204;9;"Circuler à vélo à Liège reste très difficile. Périlleux pour les cyclistes, et parfois pour les piétons.
Repenser et multiplier les trajets cyclistes et les rendre continus, séparés autant que faire se peut des trajets des bus et voitures, cohérents vis-à-vis des autres usagers (attention aux contre-sens). 
Crèer 10 km de piste cyclable par an. Et pas uniquement au centre de Liège.
Organiser de vrais gares a vélos où déposer ceux-ci en sécurité à prix très réduits (il ya des villes où existent des hangars gardés à cet usage 18h/24, près des gares de bus et de train). 
Encourager des initatives privées et/ou communautaires de garages, d´ateliers et de location ou partage de vélos (électriques).
Et quid d´un service de location de vélos comme tant d´autres villes de Belgique et d ailleurs ?"
La végétalisation et l'agriculture urbaine;635- Rendre le Parc rue du Vertbois  plus attrayant;53;3;Ce petit parc doit devenir un espace convivial pour les employés souhaitant prendre un repas de midi en extérieur ou les habitants souhaitant s’offrir un moment de relaxation.  Une suppression partielle de la végétation le bordant côté rue du Vertbois permettrait de l’ouvrir vers l’extérieur.  Un petit parterre de fleurs central et la pose de quelques nouveaux graviers devraient aussi améliorer la situation.
Inclusion sociale;638- Créer des lieux de rencontre et d'échanges;39;4;"ATELIER CITOYEN Rocourt - 5 mai

- Local soutenu par la Ville de Liège mais géré par des citoyens permettant un échange d'idées, de culture.  Ce local serait accessible à tous et ouvert très régulièrement (tous les jours dans la mesure du possible);

- Cet endroit permettrait de mettre à disposition un journal reprenant des initiatives positives qui permettrait aux personnes de s'informer sur leur quartier, leur ville, sur l'extérieur;

- Créer un pôle attractif qui permettrait de s'ouvrir à d'autres quartiers: organiser des visites d'autres quartiers pour le découvrir ainsi que les solutions qu'ils ont trouvé à leurs problèmes."
Des espaces verts, des espaces collectifs, des espaces apaisés;642 - Aménagement de zones de convivialité dans les quartiers;16;0;Afin de favoriser la cohésion sociale sur les quartiers, nous proposons que des espaces publics libres soient aménagés (ou améliorés) en espace de convivialité. Ceci afin de permettre de développer des activités citoyennes telles que, par exemple, des espaces de rencontre, des potagers communautaires , des activités sportives en groupe, des spectacles de rue, etc... . Pour le quartier de Grivegnée-bas, nous pensons principalement à l'espace sis Avenue Albert 1er, 5 et à la plaine de jeux rue Jan Hans. Les projets seraient soumis à une consultation citoyenne préalable avant leur implantation.
La végétalisation et l'agriculture urbaine;644 - Immeubles verts;54;4;"Afin d'embellir la ville et de lutter efficacement contre la pollution, construire quelques immeubles d'un maximum de 15 étages, près des abords des quais, qui auraient chacune de leurs façades recouvertes d'arbres, d'arbustes, d'algues, se qui favoriserait la lutte contre la pollution à Liège, avec une méthode naturelle.

Cela pourrait aussi se concrétiser en choisissant plusieurs immeubles déjà existants et en leur intégrant une armature légère afin de pouvoir positionner sans danger, les arbres et la verdure."
Inclusion sociale;672 - Réaffectation de bâtiments à l'abandon;308;6;"Il y a tellement de bâtiments à l'abandon qui pourraient être rafraichis par les élèves des écoles du bâtiment et être revendus ou reloués moins cher.
Il y a aussi toutes ces maisons abandonnées et jugées inhabitables car trop proches d'une source de nuisance sonore (par exemple : Bierset) Ces maisons pourraient êtres revendues ou louées à des personnes sourdes et malentendantes (je suis sourd) a petit prix. 
Car c'est mieux quoi? Des logements vides qui pourrissent ou des logements habités et de nouveau rentables? De plus, ça fera des heureux et tout le monde sera gagnant.
Bien entendu, les personnes pour lesquels ces logemelogements seraient octroyés doivent êtres candidats ayant droit, pas d'excès, pas de profit inutile ni de laissés pour compte.
Je vous remercie d'avance pour votre attention."
La végétalisation et l'agriculture urbaine;695- Relier les parcs avec des rues vertes et arborées;176;2;"Et si nous connections les différents parcs et espaces verts de la ville entre eux!

Comment? Avec de la nature, des arbres, des haies, etc.
Le long des trottoirs, dans les rues, sur les boulevards, sur les ponts.

Un moyen de faire de nos rues des petits espaces verts à eux tous seuls.

Un projet qui peut se concrétiser petit à petit, en participant chaque jour à l'amélioration de la qualité de l'air, de la qualité de vie dans nos quartiers, de la biodiversité en ville.

Cela s'appelle un maillage vert ou une trame verte."
Des espaces verts, des espaces collectifs, des espaces apaisés;708 - Revoir la mobilité au cœur du quartier Saint-Laurent;24;3;"Réinventons la mobilité au cœur du quartier Saint-Laurent  situé « Aux Portes de Liège »

Suite à une réflexion récente menée par le Comité de Quartier, il a été constaté que la mobilité au sein du quartier pouvait être fortement améliorée en modifiant essentiellement le sens de circulation de quatre rues du quartier :
-	Rendre la circulation de la Rue Wazon prolongée par les Rues Reynier et Defrance à sens unique (sauf pour les cyclistes qui pourront toujours circuler dans les deux sens) dans le sens descendant jusqu’à leurs croisements avec la Rue Saint-Gilles ;
-	Rendre la circulation de la Rue du Château-Massart au départ de la Rue Saint-Gilles à sens unique dans le sens montant jusqu’à la Rue Saint-Laurent ; et
-	Inverser les sens uniques de circulation actuels des Rue Patenier et Rue Bidaut
Si ces modifications sont accompagnées d’une imposition « zone 30 » dans un rayon d’environ 150 m autour du carrefour Saint-Laurent, et d’une sécurisation des trottoirs et passage pour piétons dans cette même zone, cela permettrait :
-	une meilleure fluidité du trafic autour du carrefour Saint-Laurent ;
-	une meilleure offre de parking pour les riverains du quartier ; et
-	une réappropriation du quartier par les piétons et personnes à mobilité réduite leur donnant un meilleur accès vers les quartiers du Centre de Liège (Saint-Gilles, Jardin Botanique, …)"
Des espaces verts, des espaces collectifs, des espaces apaisés;712- Un restaurant sur la terrasse du  Centre Nautique;35;3;"Un restaurant sur la terrasse du  Bâtiment Centre Nautique de Liège parc de la Boverie
Aménager un Restaurant-Bar sur la grande terrasse du  Bâtiment Centre Nautique de Liège, dans le parc de la Boverie le long de la passerelle La Belle-Liégeoise. Le bâtiment appartient à la ville de Liège qui pourrait louer la terrasse et l'étage supérieur sans modifier la location des étages inférieures aux clubs de sport nautique.
Ce projet pourrait avoir un caractère social et culturel afin de mettre en valeur la diversité des cultures à Liège (bien représentée sur la passerelle)"
Des espaces verts, des espaces collectifs, des espaces apaisés;714-La devise  : L'Union fait la force .;4;15;Mettre tous LES ASSOCIATIONS dans un même but ou même contenu ,  dans un même bâtiment en un seul endroit  et donner un seul Nom  : cela permettra d'avoir une clarté du nom de l'association, qui est très important aux yeux du public .Cela va rendre l'association plus forte pour la reconnaissance d'un seul  nom de l'association . Cela permettra aussi d'avoir un gain écologique (fs de charges) , un gain de facilité , un gain de temps d'organisation .Il y a beaucoup d'avantages pour faire un dossier plus solide à remettre auprès des institutions , des administrations ,des Ministres ...ect L'importance , c'est de renforcer une association asbl en 1 seul nom .
Inclassables;718 - Liège sans pub;208;24;"ATELIER CITOYENS Chênée - lundi 8 mai 

2017, occasion exceptionnelle pour proposer autre chose que des infos marchandes et capitalistes.  Nous sommes plus que des consommateurs.  Utiliser l'espace public dégagé pour relayer les infos sociales / culturelles / citoyennes / artistiques / sportives .... parfois propres à chaque quartier.

We can do it .... Avec vous !"
Des espaces verts, des espaces collectifs, des espaces apaisés;753- + de défibrillateurs dans les endroits publics;77;4;"et une application pour les localiser

Crise cardiaque, arret cardiaque,Jamais drole de vivre ou d'etre le témoin d' une telle situation,
on appelle le 112,on tente une réa  mécanique,qui devrait etre enseignée dans le secondaire,d'ailleurs.2 heures  suffiraient.
Mise en route,Embouteillage,prise en charge,le temps parait bien long,avant qu'arrive le véhicule 112
Il existe déjà des points défibrillateurs sur Liège.Le but est de pouvoir les localiser rapidement.Une application,un panneau,pourraient le permettre, et permet aussi à l'opérateur du 112 de donner  l'information.La réanimation par défibrillateur peut déjà etre mise en place,en attente des secours.Ceci a   été suggèré par un Conseiller Communal.Ca concerne + de 10000 personnes/an en Belgique."
Des espaces verts, des espaces collectifs, des espaces apaisés;772 - Remettre les grilles du Jardin botanique;37;12;La ville aurait conservé les grilles entourant le parc du jardin botanique: pourquoi ne pas les remettre à leur place ?
Des espaces verts, des espaces collectifs, des espaces apaisés;774 - Changer le gravier de la place Saint-Jacques;5;12;Changer le gravier des sentiers du square de la place Saint-Jacques, le rouge actuel est très moche, pourquoi ne pas mettre du gravier bleu ?
La végétalisation et l'agriculture urbaine;776 - Plus de verdure sur l'esplanade Saint-Léonard;163;5;Plus de verdure sur l'esplanade Saint-Léonard
La végétalisation et l'agriculture urbaine;782 - Soutenir les petits producteurs locaux;298;16;"Ils produisent des légumes, des fruits, du miel, du vin, du fromage, de la bière, sur le territoire de la ville de Liège,... souvent dans des coins verts magnifiques insoupçonnés.

Donnons-leur l'occasion de développer leur activité, de vendre leurs production sur les marchés locaux. Offrons-leur de la visibilité. Mettons-les en réseau. Créons des locaux partagés pour la transformation de leurs produits, la découpe, la vente, etc.

Pour cela il faut un plan général de soutien aux petits producteurs, concocté avec leur participation : agriculteurs, maraîchers, apiculteurs, vignerons, etc., avec à la clé des actions concrètes à mettre en place."
Art, Culture, Patrimoine, Tourisme;881- Découvrir Liège avec des yeux d’enfants;55;7;"Parcours de découvertes artistiques historiques et contemporaines  à destination des enfants guidés par une héroïne valeureuse. Enfants 6-12ans accompagnés de parents, pré adolescents ou groupes scolaires.

Nous proposons des itinéraires retraçant une histoire de la ville de Liège où le réel et la fiction se rencontrent au coin d’un carrefour. Tout au long du parcours, nous serons emmenés par une héroïne au caractère bien trempé n’ayant pas peur de braver tous les dangers pour nous faire percer les mystères que cache la ville de Liège. 

Voyager avec des enfants est une occasion pour découvrir la ville avec un autre regard et surtout, apprendre des choses qu'on ne penserait jamais à faire en voyageant avec des amis, en couple, ou même seul. À cette occasion, nous présenterons un projet qui ravira vos enfants et éveillera celui qui sommeille en vous. 

S’engager dans le jeu est le moyen idéal pour les enfants d’apprendre en s’amusant, en développant la pédagogie du jeu dans l’infrastructure de la ville et en créant de nouveaux dispositifs et espaces d’apprentissages nous permettons à ces futurs adultes d’envisager au sens large un nouveau terrain de jeu et donc d’apprentissage. Le jeu va avoir une influence sur leur identité dans la ville et sur la relation qu’ils entretiennent avec le lieu. Cette approche vise également à sensibiliser les enfants et leurs accompagnants sur des sujets sensibles dont l’écologie, la sécurité, la préservation du patrimoine entres autres … à les accompagner à devenir acteurs des changements positifs de leur belle cité.

Au moyen d’un conte moderne se déroulant le long de la Meuse, les petits explorateurs urbains se plongent dans un univers imaginaire propice à la réflexion et à la création. 

Cette exploration ludique est une activité qui appartient à la condition la plus originale et naturelle qui soit. Apprendre peut compter comme une forme d’indépendance et de liberté qui n’est pas subordonnée à l’enseignement car les individus sont enclins à l’auto apprentissage, le jeu est une activité riche où le besoin/plaisir d’explorer et de connaître dans la curiosité propulse l’enfant dans le désir de faire et d’expérimenter.

Le jeu devient un maître de vie plus que d’autres enseignants formels car il engage l’individu globalement, c’est dans le jeu que la dimension la plus authentique de la pédagogie de l’activisme s’exprime, la passivité est incompatible avec le jeu.

Principe : des parents ou accompagnants suivent les enfants à travers des parcours initiatiques.

Dans le parcours de jeu libre et guidé : lecture, plan sur internet (matériel didactique à imprimer ou à se procurer sur place), plan papiers, dessin, bricolage/maquettes avec matériaux de récupération, jardinage, écriture, histoire de la ville et bien d’autres activités encore.

Le projet touche également au StreetArt et vise à interagir avec des secteurs comme l’artisanat dans la ville dans le but de sensibiliser aux métiers de moins en moins présents dans nos sociétés modernes… Un de ses objectifs est aussi de promouvoir le tourisme."
La végétalisation et l'agriculture urbaine;887 - II. Le Parc du Cadran, esplanade verte et touristique;106;6;"Au vingtième siècle, l’autoroute urbaine du Cadran n’était ni viable ni cohérente en plein cœur historique de la Cité ardente.

Aujourd’hui, en 2018, la rue de Bruxelles est devenue souterraine à partir de la passerelle de la Principauté (surplombant la gare Liège-Palais) jusqu’au rond-point du cadran. 

Une esplanade verte y a été créée pour permettre à ce quartier une nouvelle vie. Les liégeois et les touristes sont de plus en plus admiratifs de cette nouvelle esplanade. 

La rue Saint-Pierre et la rue Fond Saint-Servais sont aujourd’hui connectées sur toute la longueur. Nous ne nous lassons plus de redécouvrir les belle façades historiques du quartier, les coteaux et l’aile du Gouverneur du Palais des Princes-Évêques."
Des espaces verts, des espaces collectifs, des espaces apaisés;894 - Recréer une séparation entre la place du Marché et la place St-Lambert;34;11;"La place du Marché a été défigurée et a perdu de son attrait, ainsi qu'une énorme part de son caractère avec l'ouverture sur la place St-Lambert.
N'avoir fait qu'un seul espace démesuré du Perron jusqu'à l'Opéra était esthétiquement plus que discutable ; on perçoit clairement que la configuration des lieux n'était pas prévue telle quelle et n'est en fait devenue que le résultat regrettable d'une démolition."
Des espaces verts, des espaces collectifs, des espaces apaisés;906 - Une identité pour les quartiers;26;3;L'idée serait de créer une identité pour chaque quartier en harmonisant (pas en uniformisant) la végétation, les luminaires, le mobilier urbain, les aménagements  publics et privés, et pourquoi pas les commerces. L a Ville pourrait intervenir en offrant des incitants financiers ou techniques. La coordination pourrait se faire via les comités de quartiers consultés préalablement.
Ville participative, Collaborative et Numérique;908 - Créer un Label 100% Liégeois;78;7;"Pour mettre en avant notre savoir-faire, nos idées, nos produits.
Créons un label 100 % liégeois.
Gage de qualité et d'éthique."
Des espaces verts, des espaces collectifs, des espaces apaisés;928- Réaménager la Dérivation;151;4;"Réaménager la Dérivation entre le pont des Vennes et le pont de Bressoux et plus si affinités  : berges végétalisées, mobilité douce et sports nautiques
Pour en finir avec cette autoroute urbaine longée par un bras d’eau sinistre et moribond… à pleurer.
Revaloriser les berges en les végétalisant au niveau de l’eau (paniers fleuris, fascines) et  en bord de voiries avec des arbres et des plantations le long d’un vrai trottoir et même d’un « ravel ». 
Ou encore, des passerelles suspendues au-dessus de l’eau, adossées à la berge là où la place manque en bord de route…
Aménager des accès pour pouvoir y mettre à l’eau une embarcation (à quand Sclessin- Droixhe en kayak-stop ;) ?).
Et pourquoi pas une eau plus propre et foule de sportifs et usagers sur l’eau ?"
La mobilité;931- Création d'abri velo  sécure en rue;192;8;"Promouvoir l'usage du vélo en développant des itinéraires cyclables est indispensable mais pas suffisant si les habitants ont du mal, parfois dans des immeubles divisés ou des immeubles à appartements anciens à pouvoir stocker leur vélo.  On admet que la voiture est de suite disponible, garée en rue sur l'espace public, très proche du domicile. 
Pourquoi ne pas consacrer par rue au moins un emplacement pour installer un box sécurisé où ranger son vélo à l'abri des intempéries,  comme cela se fait en Flandre,  à Bruxelles et dans les pays voisins. Un emplacement voiture représente 5m de long soit au moins de quoi stocker 5 vélos confortablement."
Des espaces verts, des espaces collectifs, des espaces apaisés;934- Trottoirs accessibles à tous - PMR;71;0;"Les trottoirs à Liège sont une véritable catastrophe pour les personnes à mobilité réduite: pavés, trottoirs penchés, revêtements glissants par jours de pluie, trottoirs hauts, bancs trop épars...
Pour faciliter à l'accès à l'espace public des personnes à  mobilité réduite, on pourrait rénover les trottoirs, on faisant attention à créer des trottoirs droits, plats, pas trop hauts, avec un revêtement adapté, des bancs pour permettre des pauses."
Inclassables;954-Foire en été et centre commercial à la place de Cockerill;10;48;"JOURNEE CITOYENNE - ATHENEE ROYALE DE FRAGNEE 19 mai 2017

En été il fait bon, on sort plus et ce serait amusant d'avoir une foire ! 
Enlever l'usine Cockerill pour y faire un centre commercial avec magasins de luxe"
Des espaces verts, des espaces collectifs, des espaces apaisés;970-Limitations de vitesse à Angleur;14;4;"En concertation avec les riverains, il s'agirait d'étudier l'opportunité de placer des casse-vitesse dans plusieurs rues d'Angleur problématiques à cet égard : notamment la rue Denis Lecocq, la rue du Val Benoît où malheureusement les chicanes déjà installées ne suffisent pas, mais aussi par exemple le haut de la rue du Sart Tilman, surtout dès lors qu'elle serait ouverte au nouveau quartier d'habitations en cours de construction.
Des aménagements favorisant la mobilité douce pourraient aussi être mis à l'étude."
Des espaces verts, des espaces collectifs, des espaces apaisés;972 - Ramassage de déchets : Angl - âne - eur;9;18;"Accompagnés d'un âne portant un bât, permettant de porter au fur et à mesure les déchets ramassés aux bords des chemins et sentiers, des citoyens et citoyennes d'Angleur parcourraient les coins et recoins des bois du Sart-Tilman pour les délivrer des déchets qui les polluent.
Ce projet serait mené en partenariat avec l'Université du Sart Tilman, la ferme expérimentale, la clinique vétérinaire... et le parc à conteneurs d'Intradel, où les déchets ramassés seraient déposés.
Cela permettrait la mise en valeur du poumon vert de Liège : le domaine universitaire, le pré Renard, la plaine des éléphants, ainsi que les abords de la grotte d'Angleur jusqu'à la campagne de Renory."
